Owner,Number of Plants
Companhia Siderúrgica Nacional SA,1
Jindal Shadeed Iron & Steel LLC,1
Moon Iron and Steel Company SAOC,1
Sohar Steel LLC,1
Agha Steel Industries Ltd,1
Amreli Steels Ltd,1
Faizan Steel,1
Ittehad Steels Pvt Ltd,1
Mughal Iron & Steel Industries Ltd,1
Corporacion Aceros Arequipa SA,1
Empresa Siderurgica del Peru SAA,1
Gerdau Acominas SA,1
Gerdau SA,1
Arcelormittal Warszawa SP zoo,1
Celsa Huta Ostrowiec SP zoo,1
CMC Poland SP zoo,1
Ferrostal Labedy SP zoo,1
Siderurgica Norte Brasil SA,1
SN MAIA Siderurgia Nacional SA,1
SN SEIXAL Siderurgia Nacional SA,1
Qatar Steel Company QPSC,1
ArcelorMittal Hunedoara SA,1
GLGH Steel,1
S.C. Silcotub SA,1
Abinski Elektrometallurgicheski Zavod LLC,1
Amurstal LLC,1
Ashinskiy Metzavod PJSC,1
MZ Balakovo JSC,1
Evraz NTMK JSC,1
Evraz ZSMK JSC,1
Ternium Brasil Ltda,1
KMK Tempo JSC,1
Lebedinskiy GOK JSC,1
Magnitogorskiy Metallurgicheskiy Kombinat PJSC,1
Chelyabinskiy Metallurgicheskiy Kombinat PJSC,1
Oskol'skiy Elektrometallurgicheskiy Kombinat Imeni Alekseya Alekseyevicha Ugarova JSC,1
Usinas Siderurgicas de Minas Gerais SA,1
Novolipetsk Steel PJSC,1
Novorossiysk Rolling Plant LLC,1
Vyksunskiy Metallurgicheskiy Zavod AO,1
Chelyabinskiy Truboprokatnyi Zavod JSC,1
Severstal PJSC,1
StavStal' LLC,1
Severskiy Trubnyi Zavod JSC,1
Taganrogskiy Metallurgicheskiy Zavod JSC,1
Uralskaya Stal JSC,1
Krasnyi Oktyabr' Corporation JSC,1
Volzhskiy Trubnyi Zavod JSC,1
Arab Steel Co,1
National Steel Co,1
Al Qaryan Steel Co,1
Rajhi Steel Industries Co Ltd,1
Saudi Iron and Steel Co,1
Solb Steel Co,1
HBIS Group Serbia Iron & Steel Beograd doo,1
Metalfer Steel Mill Sremska Mitrovica doo,1
US Steel Košice sro,1
SIJ Acroni doo,1
Columbus Stainless (Pty) Ltd,1
ArcelorMittal South Africa Ltd,1
Scaw Metals Group Pty Ltd,1
Daehan Steel Co Ltd,1
Vallourec Soluções Tubulares do Brasil SA,1
Hwanyoung Steel Industries Co Ltd,1
Andrade Valladares Engenharia e Construcao Ltda,1
KG Steel Co Ltd,1
KISCO Corp,1
Stomana Industry AD,1
SeAH Besteel Holdings Corp,1
SeAH Changwon Integrated Special Steel Corp,1
SeAh Steel Holdings Corp,1
YK Steel Corp,1
Acerinox Europa SAU,1
Algoma Steel Group Inc,1
Arcelormittal Olaberria-Bergara SL,1
Arcelormittal Sestao SL,1
Compania Espanola de Laminacion SL,1
Global Steel Wire SA,1
Nervacero SA,1
Corrugados Getafe SL,1
AG Siderurgica Balboa SA,1
Megasa Siderurgica SL,1
Megasider Zaragoza SA,1
Siderurgica Sevillana SA,1
Sidenor Aceros Especiales SLU,1
SSAB AB,1
Stahl Gerlafingen AG,1
